Unnamed: 0,review,score,thumbsUpCount,reviewCreatedVersion,replyContent,timeToReply,roberta_review_pred
14,"the number of likes for this review is 0. the version of the app is 33.0. sangat bagus,.",4,0,33.0,"it took 13 days 08::00 for the developer to reply to a user's review. thanks for the feedback. we hope the bankapp app simplifies your transactions. cheers, baron.",13 days 08::00,3.921688
15,the number of likes for this review is 0. the version of the app is 33.0. mantap,4,0,33.0,it took 0 days 19:25:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. remember to try out the other exciting features that simplify transactions for bank friends. thanks~winky,0 days 19:25:00,3.9385867
16,the number of likes for this review is 0. the version of the app is 33.0. good steady,4,0,33.0,it took 0 days 10:35:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. be sure to explore other exciting features that simplify transactions for bank friends. thanks~winky,0 days 10:35:00,3.6613905
17,the number of likes for this review is 0. the version of the app is 30.0. nice,3,0,30.0,"it took 0 days 01:27:00 for the developer to reply to a user's review. hello bank buddy, thanks for the feedback. if the bankapp app works perfectly, we look forward to your friend giving us stars. thanks, belin.",0 days 01:27:00,3.9334586
18,the number of likes for this review is 0. the version of the app is nan. mantap,4,0,,"it took 12 days 21:04:00 for the developer to reply to a user's review. we appreciate you using the bankapp app and encourage you to explore other exciting features that simplify transactions. thanks, lily.",12 days 21:04:00,3.6976793
19,the number of likes for this review is 0. the version of the app is 33.0. mantap bos kuuhh,4,0,33.0,it took 0 days 01:06:00 for the developer to reply to a user's review. we appreciate you using the bankapp app; remember to explore other exciting features that simplify transactions for bank friends. thanks~winky,0 days 01:06:00,3.9227529
20,the number of likes for this review is 0. the version of the app is 33.0. pbagusbagusny👍👍👍👍,4,0,33.0,"it took 0 days 17:34:00 for the developer to reply to a user's review. we appreciate your use of the bankapp app. remember to explore its other exciting features that simplify transactions. thanks, mawar.",0 days 17:34:00,3.7443163
21,the number of likes for this review is 0. the version of the app is 32.0. nice,4,0,32.0,"it took 13 days 05:03:00 for the developer to reply to a user's review. we appreciate you using the bankapp app, and we encourage you to explore other useful features that simplify transactions for bank friends. thanks, baron.",13 days 05:03:00,3.920217
22,"the number of likes for this review is 0. the version of the app is 32.0. excellent service, but if you are looking to purchase credit, avoid this place. it is been weeks without any valid reason for why it has not been processed.",3,0,32.0,"it took 0 days 17:12:00 for the developer to reply to a user's review. hello friend bank, apologies for any trouble caused. for further assistance, kindly submit a report via the bankapp app or send a message through the internet banking service at ://ib.bank.co.id/. you can also reach out to bank at / or go to the nearest bank branch with your e-ktp, atm card, and savings book. thank you~ulfa",0 days 17:12:00,0.35026368
23,the number of likes for this review is 0. the version of the app is 32.0. nice 😊,3,0,32.0,"it took 0 days 01:42:00 for the developer to reply to a user's review. hello bank friend, we appreciate you using the bankapp app and remind you to explore other exciting features that simplify your transactions. thanks~sora",0 days 01:42:00,3.8504477
24,the number of likes for this review is 0. the version of the app is 32.0. extremely useful.,4,0,32.0,"it took 0 days 10:51:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks, satria.",0 days 10:51:00,3.9352517
25,the number of likes for this review is 0. the version of the app is 32.0. how can i disable sms banking? please help. thank you very much.,4,0,32.0,"it took 0 days 00:39:00 for the developer to reply to a user's review. hello friend bank 'krisdayanti_ade', starting from april , the sms banking service has been terminated. are you referring to sms notification? if so, please be advised that you can deactivate it by visiting the nearest bank branch with your e-ktp and atm card. thank you~dio.",0 days 00:39:00,2.9588916
26,the number of likes for this review is 0. the version of the app is nan. if you want to test your patience use bankapp,0,0,,"it took 0 days 08:27:00 for the developer to reply to a user's review. dear friend of bank, we are sorry for any difficulties you have encountered. for further assistance, please provide the details via bank's official whatsapp at or email at bankapp.co.id. if everything is fine, we would appreciate a -star rating from our bank friend. thanks, bevi.",0 days 08:27:00,0.12040537
27,the number of likes for this review is 0. the version of the app is 32.0. top,4,0,32.0,"it took 13 days 03:56:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. remember to explore other exciting features that simplify transactions for bank customers. thanks, lena.",13 days 03:56:00,3.8828516
28,the number of likes for this review is 0. the version of the app is 33.0. sufficiently adequate and highly useful.,3,0,33.0,it took 1 days 00:46:00 for the developer to reply to a user's review. we appreciate you for utilizing the bankapp app and encourage you to explore other fascinating features that simplify transactions for bank friends. thanks~ulfa,1 days 00:46:00,3.9826846
29,"the number of likes for this review is 0. the version of the app is 33.0. saya kasi bintang dulu ya 😇 sebenarnya aplikasi bagus banget , mempermudahkan penarikan tanpa kartu,tapi buatkan dong penarikan atm minimal rb",3,0,33.0,"it took 0 days 02:57:00 for the developer to reply to a user's review. thanks for the feedback. we hope the bankapp app simplifies your transactions. if everything has been smooth, we would appreciate a -star rating from your bank friend. thank you~yuka",0 days 02:57:00,3.3976378
30,the number of likes for this review is 0. the version of the app is 33.0. it is really terrible. the cook has not made any transactions and there is already a notification about reaching the daily limit.,0,0,33.0,"it took 0 days 00:48:00 for the developer to reply to a user's review. hello bank friend, if you have recently reinstalled or modified your device, safety mode or reduced transaction limits will be enabled. do not worry, safety mode will deactivate and the limits will normalize within hours. if everything has been working fine for you, we would appreciate a -star rating from you. thanks~dio",0 days 00:48:00,0.059667677
31,the number of likes for this review is 0. the version of the app is 33.0. bagus embantu,4,0,33.0,"it took 0 days 09:41:00 for the developer to reply to a user's review. we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks, tika",0 days 09:41:00,3.9609945
32,the number of likes for this review is 0. the version of the app is 33.0. simplify it.,4,0,33.0,"it took 0 days 00:30:00 for the developer to reply to a user's review. thank you for using the bankapp app. do not forget to check out other exciting features that simplify your transactions. thanks, mawar.",0 days 00:30:00,4.0265946
33,the number of likes for this review is 1. the version of the app is 33.0. baguse,4,1,33.0,"it took nan for the developer to reply to a user's review. hello bank friend, we appreciate you using the bankapp app. remember to explore other exciting features for convenient transactions. if everything has been smooth, we kindly ask for a -star rating from you. thanks~shima",,3.9798973
34,"the number of likes for this review is 0. the version of the app is nan. i rate it stars, but could you please disable the mutation and activity?",4,0,,"it took 12 days 22:14:00 for the developer to reply to a user's review. hello friend bank, i appreciate the review. if you encounter any issues concerning bankapp, kindly send a detailed message to bank's official whatsapp at or email them at bankapp.co.id. thanks~lily",12 days 22:14:00,3.168393
35,the number of likes for this review is 0. the version of the app is 28.0. you do not want me to attempt the transfer if it will not go through.,0,0,28.0,"it took 1 days 22:26:00 for the developer to reply to a user's review. hello bank companion, kindly provide detailed information via whatsapp at or email bankapp.co.id for verification and further assistance. if everything is satisfactory, we hope your friend will rate us with stars. thanks~una",1 days 22:26:00,0.35682908
36,the number of likes for this review is 0. the version of the app is 32.0. mantul bos qiu. tks,4,0,32.0,"it took 0 days 00:30:00 for the developer to reply to a user's review. thanks for the feedback. i hope the bankapp app simplifies your transactions. regards, asri",0 days 00:30:00,3.8295622
37,the number of likes for this review is 0. the version of the app is nan. nearly,4,0,,"it took 16 days 00:27:00 for the developer to reply to a user's review. i appreciate your feedback. i hope the bankapp app simplifies your transactions. thanks, lily.",16 days 00:27:00,3.8331485
38,the number of likes for this review is 9. the version of the app is 31.0. thanks. all my banking matters are smoother.,4,9,31.0,"it took 4 days 06:04:00 for the developer to reply to a user's review. hello friend bank, we appreciate you utilizing the bankapp app. let’s streamline and simplify your daily transactions. thanks~mia",4 days 06:04:00,3.7868469
39,"the number of likes for this review is 0. the version of the app is 33.0. i've been using this application for a month without any issues. i hope it remains safe. to avoid re-uploading, ensure that videos are not backlit, and id photos are taken in landscape mode. carry ids and the designated sign as required. i hope there will not be any delays.",4,0,33.0,"it took 15 days 09:43:00 for the developer to reply to a user's review. hello sobat bank, we appreciate your feedback. this will help us improve the bankapp app. do not forget to try out other exciting features that simplify transactions for bank friends. thanks ~ rida",15 days 09:43:00,3.5079753
40,the number of likes for this review is 0. the version of the app is 33.0. why is it not possible to add funds using the bankapp app?,4,0,33.0,"it took nan for the developer to reply to a user's review. hello friend bank, at the moment the bank bank network is functioning normally. for verification, kindly send a response that appears as an image through bank's official whatsapp at or email bankapp.co.id. if everything is fine, we would appreciate a -star rating from bank friends. thanks~winky",,0.67429274
41,"the number of likes for this review is 5. the version of the app is 33.0. i recently updated the bankapp app yesterday. however, after the update, it would not start and was not recognized by any screen reader application. please fix this promptly so that visually impaired users can conduct transactions as normal. thank you.",1,5,33.0,"it took 0 days 01:40:00 for the developer to reply to a user's review. hello friend bank, sorry for the inconvenience. the bankapp application is functioning normally at the moment. if you encounter any issues, please send the problem details via email to bankapp.co.id or through the bank official whatsapp at . if there are no issues, we would appreciate a -star rating from your bank friend. thanks ~ banu",0 days 01:40:00,0.7746491
42,the number of likes for this review is 0. the version of the app is 33.0. bankapp is more straightforward and user-friendly.,4,0,33.0,"it took 0 days 06:54:00 for the developer to reply to a user's review. we appreciate your feedback; keep enhancing your banking experience with the bankapp app. regards, ulfa",0 days 06:54:00,3.8550272
43,the number of likes for this review is 0. the version of the app is 33.0. it remains cozy; it feels nice.,4,0,33.0,"it took 0 days 00:28:00 for the developer to reply to a user's review. hello friend bank, i appreciate your feedback. i hope the bankapp app simplifies transactions for you. thanks, riyo.",0 days 00:28:00,3.9854617
44,the number of likes for this review is 0. the version of the app is 32.0. nice,4,0,32.0,"it took 8 days 09:07:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks, satria.",8 days 09:07:00,3.8413506
45,"the number of likes for this review is 0. the version of the app is 33.0. he claimed it was a simple task, but when i tried to create an online account to find the nearest bank bank unit lbagusasi, it turned out to be very frustrating. apologizing did not help; he said it was easy, but that was wrong. irrelevant keywords kept showing up, making the process confusing and just wasting my data.",0,0,33.0,"it took 0 days 01:18:00 for the developer to reply to a user's review. hello bank friend, sorry for any trouble you faced. if you encounter any issues, please share the details through the official bank whatsapp number or email bankapp.co.id for further assistance. if there are no issues, we would appreciate a -star rating from you. thanks~najwa.",0 days 01:18:00,0.0011499183
46,the number of likes for this review is 0. the version of the app is 33.0. it’s malfunctioning. i can’t perform transactions. i require bank tea. i have to shuttle between the bank.,0,0,33.0,"it took 2 days 23:03:00 for the developer to reply to a user's review. hello bank friend, we are sorry for the inconvenience you faced. to resolve this, kindly provide the details of the issue through email at bankapp.co.id. if you have not had any issues, we would appreciate a -star rating from you. thank you ~riyo",2 days 23:03:00,0.12077999
47,"the number of likes for this review is 0. the version of the app is nan. i plan to log in, but it consistently fails, despite my internet being fast enough for browsing and streaming on youtube. i wish to transfer funds under these conditions. 😒",3,0,,"it took nan for the developer to reply to a user's review. hello bank friend, we verified that the bankapp app is functioning properly at the moment. kindly try again at intervals to confirm your internet connection is stable and the app is up to date. if everything works fine for you, we would appreciate a -star rating. thanks~hiro",,0.1847119
48,the number of likes for this review is 0. the version of the app is 32.0. very helpful,3,0,32.0,"it took 0 days 09:55:00 for the developer to reply to a user's review. friend bank, thanks for the feedback. we hope the bankapp app simplifies your transactions. thanks, belin.",0 days 09:55:00,3.7919505
49,the number of likes for this review is 0. the version of the app is 33.0. baguse,4,0,33.0,"it took 0 days 00:21:00 for the developer to reply to a user's review. hello friend bank, grateful for the feedback. i hope the bankapp app simplifies transactions. thanks, sammy.",0 days 00:21:00,3.9279313
50,"the number of likes for this review is 0. the version of the app is 33.0. therefore, it is more convenient to have someone available.",3,0,33.0,"it took 0 days 05:12:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks~mia",0 days 05:12:00,3.9082904
51,"the number of likes for this review is 2. the version of the app is 32.0. similar to other instances, this peculiar and disorderly application consistently fails when requesting an -second video. actually, after going through the feedback, it appears this issue is widespread. please have the it team address the problems with this app.",0,2,32.0,"it took 0 days 01:16:00 for the developer to reply to a user's review. hello bank friend, we reviewed the video recording of the bankapp registration and everything appears to be normal. kindly try the process again periodically. if issues persist, please send the specifics to bankapp.co.id. if everything is working fine, we would appreciate a -star rating from you. thanks, riyo",0 days 01:16:00,0.44423464
52,the number of likes for this review is 0. the version of the app is 33.0. penggunaan sangat membantu dan mudah,4,0,33.0,"it took 0 days 04:24:00 for the developer to reply to a user's review. we appreciate you using the bankapp app and encourage you to explore other exciting features that simplify transactions. thanks, mawar.",0 days 04:24:00,3.8877506
53,"the number of likes for this review is 0. the version of the app is 32.0. i rate it stars. previously, registration through my cellphone never worked. the instructions were followed properly. now, it has been successfully activated and can be used with the new bank. very good. i hope there will be no issues in the future.",4,0,32.0,"it took nan for the developer to reply to a user's review. dear friend bank, we are sorry for any inconvenience caused. for further assistance, please provide the problem details through bank's official whatsapp at or email at bankapp.co.id. if everything is satisfactory, we would appreciate a -star rating from you. thanks, priska.",,3.5166967
54,the number of likes for this review is 0. the version of the app is 33.0. the specific application is unknown. my money transfers consistently fail. please resolve the issue.,0,0,33.0,"it took 0 days 12:15:00 for the developer to reply to a user's review. hello bank friend, in order for us to verify and assist you, kindly send a picture of the display you received to whatsapp or email bankapp.co.id. if everything is in order, we would appreciate a -star rating from you. thanks~diva",0 days 12:15:00,0.52181315
55,"the number of likes for this review is 0. the version of the app is 33.0. following the update, the bankapp application frequently crashes.",2,0,33.0,"it took 0 days 18:45:00 for the developer to reply to a user's review. hello friend bank, we are sorry for the issues you encountered. the regular bankapp network is available for access and transactions, and please ensure you have the most recent version of bankapp. for further assistance, kindly provide problem details via whatsapp at or email at bankapp.co.id. if everything is working fine now, we would appreciate a -star rating from you. thanks~dio",0 days 18:45:00,1.2165077
56,"the number of likes for this review is 0. the version of the app is 33.0. i attempted to register but it did not work. customer service said they would help the security guard with the issue. however, the security guard could not resolve it either. now, i do not know who else to ask for help. my card is damaged and cannot be used for transactions.",0,0,33.0,"it took 0 days 01:54:00 for the developer to reply to a user's review. hello bank friend, sorry for the inconvenience. to proceed, please send the error message that you received through the bank whatsapp service at or to email bankapp.co.id. thanks~heru",0 days 01:54:00,0.39355332
57,the number of likes for this review is 0. the version of the app is 32.0. kindly give your approval for yas.,4,0,32.0,"it took 14 days 02:22:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. remember to explore other useful features that simplify transactions. thanks, una.",14 days 02:22:00,3.8820179
58,the number of likes for this review is 0. the version of the app is 33.0. very good,3,0,33.0,"it took 0 days 06:59:00 for the developer to reply to a user's review. bank friend, if the bankapp app is working well for you, we had appreciate a -star rating from you. thanks~galih",0 days 06:59:00,3.7205229
59,the number of likes for this review is 0. the version of the app is 33.0. best,4,0,33.0,"it took 0 days 15:34:00 for the developer to reply to a user's review. hello bank friend, thanks for your feedback. we hope the bankapp app simplifies your transactions. thanks, debi",0 days 15:34:00,3.9779835
60,the number of likes for this review is 0. the version of the app is nan. that’s pleasant.,4,0,,it took 0 days 00:53:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. remember to explore other exciting features that simplify transactions for bank friends. thanks ~ banu,0 days 00:53:00,3.68105
61,the number of likes for this review is 0. the version of the app is 33.0. easy and secure.,3,0,33.0,"it took 0 days 06:09:00 for the developer to reply to a user's review. thanks for the feedback. we hope that the bankapp app simplifies your transactions. if all is going well, we would appreciate a -star rating from you. thanks, yuka.",0 days 06:09:00,3.7568216
62,"the number of likes for this review is 0. the version of the app is 32.0. praise be to god, this app makes it very simple for me to transfer and withdraw money effortlessly.",4,0,32.0,"it took 15 days 15:04:00 for the developer to reply to a user's review. i appreciate your feedback. i hope the bankapp app simplifies your transactions. thanks, lily.",15 days 15:04:00,4.0555763
63,the number of likes for this review is 0. the version of the app is 33.0. a high-quality and outstanding apk,4,0,33.0,"it took 0 days 00:29:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks, mia",0 days 00:29:00,3.9460418
64,the number of likes for this review is 0. the version of the app is 33.0. this application is incredible.,4,0,33.0,"it took 0 days 06:18:00 for the developer to reply to a user's review. thank you for using the bankapp app. be sure to check out other exciting features to simplify your transactions. thanks, oscar.",0 days 06:18:00,3.9608727
65,"the number of likes for this review is 0. the version of the app is 33.0. my frustration with the atm persists because the service is slow and there are always long lines. i wanted to use the app, but i was instructed to register my number first, making the app useless. additionally, sms banking is not available, which is truly disappointing.",0,0,33.0,"it took 0 days 04:45:00 for the developer to reply to a user's review. hello bank friend, we are sorry for the issues you encountered. for further assistance, kindly send a detailed message through bank's official whatsapp or email bankapp.co.id. if everything is fine, we would appreciate a -star rating from your bank companion. thanks ~erza.",0 days 04:45:00,-0.027931446
66,"the number of likes for this review is 0. the version of the app is 33.0. extremely frustrating. despite checking the video multiple times, i am still unable to … even though the wifi connection is secure, you still cannot access the nearest bank either, which is truly disappointing.",0,0,33.0,"it took 0 days 00:33:00 for the developer to reply to a user's review. bank friends, ensure the video quality is appropriate for face verification—avoid excessive bankghtness, backlighting, and low light conditions. should issues persist, please email the problem details to bankapp.co.id. if everything works smoothly, we would appreciate a -star rating. thanks~bevi",0 days 00:33:00,0.2947095
67,the number of likes for this review is 0. the version of the app is 33.0. this app is awesome! 🥰🥰🥰🥰🥰 i adore bankapp.,4,0,33.0,"it took 0 days 14:36:00 for the developer to reply to a user's review. thank you for your feedback. i hope the bankapp app simplifies your transactions. thanks, una.",0 days 14:36:00,3.8754451
68,"the number of likes for this review is 0. the version of the app is 33.0. it just complicates things. i only want to register, but it is so troublesome, it always ends in failure. instead of being helpful, it is a dead end.",0,0,33.0,"it took 0 days 14:39:00 for the developer to reply to a user's review. dear friend bank, we would like to inform you that the bankapp application network is functioning normally. please try again periodically, ensuring that your internet connection is stable and you are using the latest version of the bankapp app. if you do not encounter any issues, we would appreciate a -star rating from you. thanks~galih",0 days 14:39:00,0.30130294
69,"the number of likes for this review is 0. the version of the app is 33.0. simple and user-friendly application, ideal for everyone for online transactions. superb.",4,0,33.0,"it took 0 days 07:34:00 for the developer to reply to a user's review. thank you for using the bankapp app, and remember to try out other exciting features that simplify your transactions. regards, mawar.",0 days 07:34:00,3.801503
70,the number of likes for this review is 0. the version of the app is 33.0. aplikasi brbagusen,0,0,33.0,"it took 0 days 01:21:00 for the developer to reply to a user's review. dear bank friend, we apologize for any inconvenience. please send the problem details via email to bankapp.co.id or through a direct message on instagram , twitter , , for verification. if everything is satisfactory, we would appreciate a -star rating. thank you! ~belin",0 days 01:21:00,3.6605668
71,"the number of likes for this review is 0. the version of the app is nan. sumpah kecewa banget dengan bank ini, uang tidak pernah kembali padahal sudah masuk dan sudah di cek mutasi sudah masuk, sedangkan dari sana belum masuk, apakah harus semua pindah bank?? eh dah satu lagi saya kirim bankapp sedang di proses padahal lagi butuh cepat, sudah komplen email tidak ada tanggapan saldo kepotong lagi, apa harus viral dulu baru pihak bank klarifikasi?? lebih baik pindah bank aja semuanya, sangat mengecewakan!!!",0,0,,"it took 0 days 22:07:00 for the developer to reply to a user's review. hello friend bank, we are sorry for the issues you have encountered. to proceed further, kindly send a detailed message via bank's official whatsapp or email bankapp.co.id. if you have no issues, we would appreciate a -star rating from you. thanks~johan",0 days 22:07:00,0.113371834
72,the number of likes for this review is 0. the version of the app is 33.0. i'm thrilled with bankapp because it saves me from having to travel long distances.,4,0,33.0,"it took 1 days 18:47:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. remember to check out the other handy features that simplify transactions for bank friends. thanks, dio.",1 days 18:47:00,3.9110997
73,"the number of likes for this review is 464. the version of the app is 33.0. the bankapp app is quite frustrating as it frequently crashes. despite numerous reinstall attempts, even the registration process tests one's patience to the limit. the application constantly shows errors, prompting reinstalls. bank, please enhance your application system. the app is supposed to simplify things, not complicate them. even attempting registration results in repeated errors.",0,464,33.0,"it took 0 days 02:03:00 for the developer to reply to a user's review. hello friend bank, we are sorry for any issues you have encountered. for further assistance, please send a detailed message through bank's official whatsapp at or email bankapp.co.id. if everything is fine, we would appreciate a -star rating from you. thanks~johan",0 days 02:03:00,0.0053178957
74,the number of likes for this review is 0. the version of the app is 29.0. mantab,4,0,29.0,"it took 0 days 00:46:00 for the developer to reply to a user's review. we appreciate your use of the bankapp app and encourage you to explore its other valuable features for smoother transactions. thanks, mawar.",0 days 00:46:00,3.946013
75,"the number of likes for this review is 0. the version of the app is 33.0. it is very simple to operate. let us hope the security remains intact to prevent any breaches. well done, bankapp.",3,0,33.0,"it took 1 days 03:16:00 for the developer to reply to a user's review. hello bank friend, we appreciate your review. we hope the bankapp app simplifies your transactions. if you encounter no issues with the bankapp app, we would be grateful for a -star rating from you. thanks ~lily",1 days 03:16:00,3.8782473
76,the number of likes for this review is 0. the version of the app is 33.0. steady bankapp.,4,0,33.0,it took 0 days 19:05:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. remember to explore other exciting features that simplify transactions for bank friends. thanks~winky,0 days 19:05:00,3.891946
77,the number of likes for this review is 0. the version of the app is 32.0. yop,4,0,32.0,"it took 8 days 06:55:00 for the developer to reply to a user's review. we appreciate your use of the bankapp app and encourage you to explore its other convenient features for transactions. thanks, banu.",8 days 06:55:00,3.9347873
78,the number of likes for this review is 0. the version of the app is 32.0. simple and quick,4,0,32.0,"it took 8 days 02:37:00 for the developer to reply to a user's review. we appreciate your feedback. we hope that the bankapp app simplifies your transactions. thank you, una.",8 days 02:37:00,3.7434382
79,the number of likes for this review is 0. the version of the app is 33.0. sangat bagus,4,0,33.0,"it took 0 days 10:48:00 for the developer to reply to a user's review. hello friend bank, we appreciate you using the bankapp app. simplify and ease your daily transactions with it. thanks~mia",0 days 10:48:00,3.93897
80,the number of likes for this review is 0. the version of the app is 33.0. mantap dan keren,4,0,33.0,"it took 0 days 18::00 for the developer to reply to a user's review. we appreciate your use of the bankapp app and encourage you to explore its other convenient transaction features. thanks, arum.",0 days 18::00,3.9519236
81,the number of likes for this review is 0. the version of the app is 33.0. the application is complicated kaga as sophisticated as another bang just enter fill in the customer data directly can be used kaga complicated like bankapp i am very disappointed as a regular customer i as an online driver already have an account from until now want to make bank mobel until now to moto e-ktp already fit in the line can not be in the photo yesterday i made can not poto my face while talking ko so difficult i want to make bank mobel please improve the system again thanks,0,0,33.0,"it took 14 days 15::00 for the developer to reply to a user's review. hello bank friend, we apologize for any inconvenience caused during your transaction. to help us address this, kindly send detailed information through whatsapp at or email bankapp.co.id. if everything is resolved, we would appreciate a -star rating from you. thank you~diva",14 days 15::00,0.019741187
82,the number of likes for this review is 0. the version of the app is 33.0. very good,4,0,33.0,"it took 0 days 00:15:00 for the developer to reply to a user's review. hello friend bank, i appreciate your review. i hope the bankapp app simplifies transactions. thanks~sammy",0 days 00:15:00,3.928405
83,the number of likes for this review is 0. the version of the app is 33.0. quite helpful for those who are too lazy to go to the atm,4,0,33.0,"it took 0 days 00:55:00 for the developer to reply to a user's review. thanks for the feedback. we hope the bankapp app simplifies your transactions. cheers, bevi.",0 days 00:55:00,3.947202
84,the number of likes for this review is 0. the version of the app is 32.0. sangat membantu sekali,4,0,32.0,"it took 4 days 04:26:00 for the developer to reply to a user's review. i appreciate your feedback. i hope the bankapp app will simplify your transactions. thanks, chess.",4 days 04:26:00,4.030298
85,the number of likes for this review is 0. the version of the app is 33.0. excellent application,4,0,33.0,it took 0 days 01:24:00 for the developer to reply to a user's review. thanks for the feedback. we hope the bankapp app simplifies your transactions. thanks! – una,0 days 01:24:00,3.7293785
86,the number of likes for this review is 0. the version of the app is 33.0. mantap bank,4,0,33.0,"it took 16 days 07:05:00 for the developer to reply to a user's review. hello bank friends, thanks for the feedback. please keep enhancing your banking activities with the bankapp app. thanks, una.",16 days 07:05:00,3.9643495
